line_name,description,total_boarding,tm2_mode,line_mode,headway,fare_system,vehicle_mode
pnr_Vallejo Terminal_SF Ferry_egr_PM,Vallejo Terminal_SF Ferry,703.8969116210938,11,d,1.0,99,d
pnr_Vasco Road_ACE_acc_PM,Vasco Road_ACE,0,11,d,2.0,99,d
pnr_Vasco Road_ACE_egr_PM,Vasco Road_ACE,24.536325454711914,11,d,2.0,99,d
pnr_Walnut Creek_BART_acc_PM,Walnut Creek_BART,343.23956298828125,11,y,2.0,96,y
pnr_Walnut Creek_BART_egr_PM,Walnut Creek_BART,3733.670654296875,11,d,2.0,99,d
pnr_West Dublin/Plesanton_BART_acc_PM,West Dublin/Plesanton_BART,194.42832946777344,11,y,3.0,96,y
pnr_West Dublin/Plesanton_BART_egr_PM,West Dublin/Plesanton_BART,1227.407470703125,11,d,3.0,99,d
pnr_West Oakland_BART_acc_PM,West Oakland_BART,0,11,z,1.0,97,z
pnr_West Oakland_BART_egr_PM,West Oakland_BART,1245.1708984375,11,d,1.0,99,d
pnr_Whiseman_SCVTA LRT_acc_PM,Whiseman_SCVTA LRT,140.9921417236328,11,d,1.0,99,d
pnr_Whiseman_SCVTA LRT_egr_PM,Whiseman_SCVTA LRT,0,11,d,1.0,99,d
pnr_Winchester_SCVTA LRT_acc_PM,Winchester_SCVTA LRT,25.47960090637207,11,d,1.0,99,d
pnr_Winchester_SCVTA LRT_egr_PM,Winchester_SCVTA LRT,107.1870346069336,11,d,1.0,99,d
