survey_route,survey_agency,survey_tech,standard_route_id,standard_line_name,BART_line_name,MTC_line_name,standard_operator,standard_headsign,standard_agency,standard_route_short_name,standard_route_long_name,canonical_operator
AC TRANSIT___NX2 High St & MacArthur Blvd,AC Transit,EXPRESS,141,30_AC Transit_141_PM_d0_s380,30_AC Transit_141_PM_d0_s380,30_141_PM_d0_s380,AC Transit,NX2 MACARTHUR,ACTransit_2015_8_14,NX2,San Francisco - East Oakland,AC Transit
AC TRANSIT___NX3 Marlow Dr & Foothill Way Oakland,AC Transit,EXPRESS,142,30_AC Transit_142_EA_d1_s381,30_AC Transit_142_EA_d1_s381,30_142_EA_d1_s381,AC Transit,NX3 SAN FRANCISCO,ACTransit_2015_8_14,NX3,San Francisco - San Leandro,AC Transit
AC TRANSIT___NX3 Marlow Dr & Foothill Way Oakland,AC Transit,EXPRESS,142,30_AC Transit_142_AM_d1_s381,30_AC Transit_142_AM_d1_s381,30_142_AM_d1_s381,AC Transit,NX3 SAN FRANCISCO,ACTransit_2015_8_14,NX3,San Francisco - San Leandro,AC Transit
AC TRANSIT___NX3 Marlow Dr & Foothill Way Oakland,AC Transit,EXPRESS,142,30_AC Transit_142_PM_d0_s382,30_AC Transit_142_PM_d0_s382,30_142_PM_d0_s382,AC Transit,NX3 MACARTHUR,ACTransit_2015_8_14,NX3,San Francisco - San Leandro,AC Transit
AC TRANSIT___NX4 Castro Valley Park & Ride,AC Transit,EXPRESS,143,30_AC Transit_143_AM_d1_s383,30_AC Transit_143_AM_d1_s383,30_143_AM_d1_s383,AC Transit,NX4 SAN FRANCISCO,ACTransit_2015_8_14,NX4,San Francisco - Castro Valley,AC Transit
AC TRANSIT___NX4 Castro Valley Park & Ride,AC Transit,EXPRESS,143,30_AC Transit_143_PM_d0_s384,30_AC Transit_143_PM_d0_s384,30_143_PM_d0_s384,AC Transit,NX4 CASTRO VALLEY,ACTransit_2015_8_14,NX4,San Francisco - Castro Valley,AC Transit
AC TRANSIT___NX4 Castro Valley Park & Ride,AC Transit,EXPRESS,143,30_AC Transit_143_EA_d1_s383,30_AC Transit_143_EA_d1_s383,30_143_EA_d1_s383,AC Transit,NX4 SAN FRANCISCO,ACTransit_2015_8_14,NX4,San Francisco - Castro Valley,AC Transit
AC TRANSIT___O Park Ave & Encinal Ave Alameda,AC Transit,EXPRESS,145,30_AC Transit_145_EA_d1_s387,30_AC Transit_145_EA_d1_s387,30_145_EA_d1_s387,AC Transit,O SAN FRANCISCO,ACTransit_2015_8_14,O,San Francisco - Alameda - Fruitvale Bart,AC Transit
AC TRANSIT___O Park Ave & Encinal Ave Alameda,AC Transit,EXPRESS,145,30_AC Transit_145_AM_d0_s386,30_AC Transit_145_AM_d0_s386,30_145_AM_d0_s386,AC Transit,O FRUITVALE BART,ACTransit_2015_8_14,O,San Francisco - Alameda - Fruitvale Bart,AC Transit
AC TRANSIT___O Park Ave & Encinal Ave Alameda,AC Transit,EXPRESS,145,30_AC Transit_145_AM_d1_s387,30_AC Transit_145_AM_d1_s387,30_145_AM_d1_s387,AC Transit,O SAN FRANCISCO,ACTransit_2015_8_14,O,San Francisco - Alameda - Fruitvale Bart,AC Transit
AC TRANSIT___O Park Ave & Encinal Ave Alameda,AC Transit,EXPRESS,145,30_AC Transit_145_MD_d0_s386,30_AC Transit_145_MD_d0_s386,30_145_MD_d0_s386,AC Transit,O FRUITVALE BART,ACTransit_2015_8_14,O,San Francisco - Alameda - Fruitvale Bart,AC Transit
AC TRANSIT___O Park Ave & Encinal Ave Alameda,AC Transit,EXPRESS,145,30_AC Transit_145_MD_d1_s387,30_AC Transit_145_MD_d1_s387,30_145_MD_d1_s387,AC Transit,O SAN FRANCISCO,ACTransit_2015_8_14,O,San Francisco - Alameda - Fruitvale Bart,AC Transit
AC TRANSIT___O Park Ave & Encinal Ave Alameda,AC Transit,EXPRESS,145,30_AC Transit_145_PM_d1_s387,30_AC Transit_145_PM_d1_s387,30_145_PM_d1_s387,AC Transit,O SAN FRANCISCO,ACTransit_2015_8_14,O,San Francisco - Alameda - Fruitvale Bart,AC Transit
AC TRANSIT___O Park Ave & Encinal Ave Alameda,AC Transit,EXPRESS,145,30_AC Transit_145_PM_d0_s386,30_AC Transit_145_PM_d0_s386,30_145_PM_d0_s386,AC Transit,O FRUITVALE BART,ACTransit_2015_8_14,O,San Francisco - Alameda - Fruitvale Bart,AC Transit
AC TRANSIT___O Park Ave & Encinal Ave Alameda,AC Transit,EXPRESS,145,30_AC Transit_145_EV_d1_s387,30_AC Transit_145_EV_d1_s387,30_145_EV_d1_s387,AC Transit,O SAN FRANCISCO,ACTransit_2015_8_14,O,San Francisco - Alameda - Fruitvale Bart,AC Transit
AC TRANSIT___O Park Ave & Encinal Ave Alameda,AC Transit,EXPRESS,145,30_AC Transit_145_EV_d0_s386,30_AC Transit_145_EV_d0_s386,30_145_EV_d0_s386,AC Transit,O FRUITVALE BART,ACTransit_2015_8_14,O,San Francisco - Alameda - Fruitvale Bart,AC Transit
AC TRANSIT___OX San Francisco Alameda Bay Farm Is,AC Transit,EXPRESS,146,30_AC Transit_146_AM_d1_s388,30_AC Transit_146_AM_d1_s388,30_146_AM_d1_s388,AC Transit,OX SAN FRANCISCO,ACTransit_2015_8_14,OX,San Francisco - Alameda - Bay Farm Is.,AC Transit
AC TRANSIT___OX San Francisco Alameda Bay Farm Is,AC Transit,EXPRESS,146,30_AC Transit_146_PM_d0_s389,30_AC Transit_146_PM_d0_s389,30_146_PM_d0_s389,AC Transit,OX ALAMEDA,ACTransit_2015_8_14,OX,San Francisco - Alameda - Bay Farm Is.,AC Transit
AC TRANSIT___OX San Francisco Alameda Bay Farm Is,AC Transit,EXPRESS,146,30_AC Transit_146_EA_d1_s388,30_AC Transit_146_EA_d1_s388,30_146_EA_d1_s388,AC Transit,OX SAN FRANCISCO,ACTransit_2015_8_14,OX,San Francisco - Alameda - Bay Farm Is.,AC Transit
AC TRANSIT___OX San Francisco Alameda Bay Farm Is,AC Transit,EXPRESS,146,30_AC Transit_146_EV_d0_s389,30_AC Transit_146_EV_d0_s389,30_146_EV_d0_s389,AC Transit,OX ALAMEDA,ACTransit_2015_8_14,OX,San Francisco - Alameda - Bay Farm Is.,AC Transit
AC TRANSIT___P Highland Ave & Highland Way Piedmont,AC Transit,EXPRESS,147,30_AC Transit_147_PM_d0_s390,30_AC Transit_147_PM_d0_s390,30_147_PM_d0_s390,AC Transit,P PIEDMONT,ACTransit_2015_8_14,P,San Francisco - Piedmont,AC Transit
AC TRANSIT___P Highland Ave & Highland Way Piedmont,AC Transit,EXPRESS,147,30_AC Transit_147_EV_d0_s390,30_AC Transit_147_EV_d0_s390,30_147_EV_d0_s390,AC Transit,P PIEDMONT,ACTransit_2015_8_14,P,San Francisco - Piedmont,AC Transit
AC TRANSIT___P Highland Ave & Highland Way Piedmont,AC Transit,EXPRESS,147,30_AC Transit_147_AM_d1_s391,30_AC Transit_147_AM_d1_s391,30_147_AM_d1_s391,AC Transit,P SAN FRANCISCO,ACTransit_2015_8_14,P,San Francisco - Piedmont,AC Transit
AC TRANSIT___S Eden Shores Hayward,AC Transit,EXPRESS,148,30_AC Transit_148_AM_d1_s392,30_AC Transit_148_AM_d1_s392,30_148_AM_d1_s392,AC Transit,S SAN FRANCISCO,ACTransit_2015_8_14,S,San Francisco - San Lorenzo- Hayward,AC Transit
AC TRANSIT___S Eden Shores Hayward,AC Transit,EXPRESS,148,30_AC Transit_148_PM_d0_s393,30_AC Transit_148_PM_d0_s393,30_148_PM_d0_s393,AC Transit,S HAYWARD,ACTransit_2015_8_14,S,San Francisco - San Lorenzo- Hayward,AC Transit
AC TRANSIT___S Eden Shores Hayward,AC Transit,EXPRESS,148,30_AC Transit_148_EV_d0_s393,30_AC Transit_148_EV_d0_s393,30_148_EV_d0_s393,AC Transit,S HAYWARD,ACTransit_2015_8_14,S,San Francisco - San Lorenzo- Hayward,AC Transit
AC TRANSIT___S Eden Shores Hayward,AC Transit,EXPRESS,148,30_AC Transit_148_EA_d1_s392,30_AC Transit_148_EA_d1_s392,30_148_EA_d1_s392,AC Transit,S SAN FRANCISCO,ACTransit_2015_8_14,S,San Francisco - San Lorenzo- Hayward,AC Transit
AC TRANSIT___SB Cedar Blvd & Stevenson Blvd Newark,AC Transit,EXPRESS,149,30_AC Transit_149_PM_d0_s395,30_AC Transit_149_PM_d0_s395,30_149_PM_d0_s395,AC Transit,SB NEWARK,ACTransit_2015_8_14,SB,San Francisco - Hayward - Newark,AC Transit
AC TRANSIT___SB Cedar Blvd & Stevenson Blvd Newark,AC Transit,EXPRESS,149,30_AC Transit_149_EA_d1_s394,30_AC Transit_149_EA_d1_s394,30_149_EA_d1_s394,AC Transit,SB SAN FRANCISCO,ACTransit_2015_8_14,SB,San Francisco - Hayward - Newark,AC Transit
AC TRANSIT___SB Cedar Blvd & Stevenson Blvd Newark,AC Transit,EXPRESS,149,30_AC Transit_149_AM_d1_s394,30_AC Transit_149_AM_d1_s394,30_149_AM_d1_s394,AC Transit,SB SAN FRANCISCO,ACTransit_2015_8_14,SB,San Francisco - Hayward - Newark,AC Transit
AC TRANSIT___U Fremont BART to Stanford University,AC Transit,EXPRESS,150,30_AC Transit_150_MD_d0_s396,30_AC Transit_150_MD_d0_s396,30_150_MD_d0_s396,AC Transit,U STANFORD EXP,ACTransit_2015_8_14,U,Frmt. BART- Stanford University,AC Transit
AC TRANSIT___U Fremont BART to Stanford University,AC Transit,EXPRESS,150,30_AC Transit_150_PM_d0_s396,30_AC Transit_150_PM_d0_s396,30_150_PM_d0_s396,AC Transit,U STANFORD EXP,ACTransit_2015_8_14,U,Frmt. BART- Stanford University,AC Transit
AC TRANSIT___U Fremont BART to Stanford University,AC Transit,EXPRESS,150,30_AC Transit_150_EA_d1_s397,30_AC Transit_150_EA_d1_s397,30_150_EA_d1_s397,AC Transit,U STANFORD EXP,ACTransit_2015_8_14,U,Frmt. BART- Stanford University,AC Transit
AC TRANSIT___U Fremont BART to Stanford University,AC Transit,EXPRESS,150,30_AC Transit_150_AM_d1_s397,30_AC Transit_150_AM_d1_s397,30_150_AM_d1_s397,AC Transit,U STANFORD EXP,ACTransit_2015_8_14,U,Frmt. BART- Stanford University,AC Transit
AC TRANSIT___V Broadway and Broadway Terr Oakland,AC Transit,EXPRESS,151,30_AC Transit_151_EA_d1_s398,30_AC Transit_151_EA_d1_s398,30_151_EA_d1_s398,AC Transit,V SAN FRANCISCO,ACTransit_2015_8_14,V,San Francisco - Montclair,AC Transit
AC TRANSIT___V Broadway and Broadway Terr Oakland,AC Transit,EXPRESS,151,30_AC Transit_151_AM_d1_s398,30_AC Transit_151_AM_d1_s398,30_151_AM_d1_s398,AC Transit,V SAN FRANCISCO,ACTransit_2015_8_14,V,San Francisco - Montclair,AC Transit
AC TRANSIT___V Broadway and Broadway Terr Oakland,AC Transit,EXPRESS,151,30_AC Transit_151_PM_d0_s399,30_AC Transit_151_PM_d0_s399,30_151_PM_d0_s399,AC Transit,V MONTCLAIR,ACTransit_2015_8_14,V,San Francisco - Montclair,AC Transit
AC TRANSIT___V Broadway and Broadway Terr Oakland,AC Transit,EXPRESS,151,30_AC Transit_151_EV_d0_s399,30_AC Transit_151_EV_d0_s399,30_151_EV_d0_s399,AC Transit,V MONTCLAIR,ACTransit_2015_8_14,V,San Francisco - Montclair,AC Transit
AC TRANSIT___W Broadway & Blanding Ave Alameda,AC Transit,EXPRESS,152,30_AC Transit_152_EA_d1_s400,30_AC Transit_152_EA_d1_s400,30_152_EA_d1_s400,AC Transit,W SAN FRANCISCO,ACTransit_2015_8_14,W,San Francisco - Alameda,AC Transit
AC TRANSIT___W Broadway & Blanding Ave Alameda,AC Transit,EXPRESS,152,30_AC Transit_152_AM_d1_s400,30_AC Transit_152_AM_d1_s400,30_152_AM_d1_s400,AC Transit,W SAN FRANCISCO,ACTransit_2015_8_14,W,San Francisco - Alameda,AC Transit
AC TRANSIT___W Broadway & Blanding Ave Alameda,AC Transit,EXPRESS,152,30_AC Transit_152_PM_d0_s401,30_AC Transit_152_PM_d0_s401,30_152_PM_d0_s401,AC Transit,W ALAMEDA,ACTransit_2015_8_14,W,San Francisco - Alameda,AC Transit
AC TRANSIT___W Broadway & Blanding Ave Alameda,AC Transit,EXPRESS,152,30_AC Transit_152_EV_d0_s401,30_AC Transit_152_EV_d0_s401,30_152_EV_d0_s401,AC Transit,W ALAMEDA,ACTransit_2015_8_14,W,San Francisco - Alameda,AC Transit
DUMBARTON___DB Dumbarton Express,AC Transit,EXPRESS,126,30_AC Transit_126_AM_d1_s344,30_AC Transit_126_AM_d1_s344,30_126_AM_d1_s344,AC Transit,Westbound,ACTransit_2015_8_14,DB,Dumbarton Express,AC Transit
DUMBARTON___DB Dumbarton Express,AC Transit,EXPRESS,126,30_AC Transit_126_AM_d0_s343,30_AC Transit_126_AM_d0_s343,30_126_AM_d0_s343,AC Transit,Eastbound,ACTransit_2015_8_14,DB,Dumbarton Express,AC Transit
DUMBARTON___DB Dumbarton Express,AC Transit,EXPRESS,126,30_AC Transit_126_EA_d1_s344,30_AC Transit_126_EA_d1_s344,30_126_EA_d1_s344,AC Transit,Westbound,ACTransit_2015_8_14,DB,Dumbarton Express,AC Transit
DUMBARTON___DB Dumbarton Express,AC Transit,EXPRESS,126,30_AC Transit_126_MD_d0_s343,30_AC Transit_126_MD_d0_s343,30_126_MD_d0_s343,AC Transit,Eastbound,ACTransit_2015_8_14,DB,Dumbarton Express,AC Transit
DUMBARTON___DB Dumbarton Express,AC Transit,EXPRESS,126,30_AC Transit_126_MD_d1_s344,30_AC Transit_126_MD_d1_s344,30_126_MD_d1_s344,AC Transit,Westbound,ACTransit_2015_8_14,DB,Dumbarton Express,AC Transit
DUMBARTON___DB Dumbarton Express,AC Transit,EXPRESS,126,30_AC Transit_126_PM_d0_s343,30_AC Transit_126_PM_d0_s343,30_126_PM_d0_s343,AC Transit,Eastbound,ACTransit_2015_8_14,DB,Dumbarton Express,AC Transit
DUMBARTON___DB Dumbarton Express,AC Transit,EXPRESS,126,30_AC Transit_126_EV_d0_s343,30_AC Transit_126_EV_d0_s343,30_126_EV_d0_s343,AC Transit,Eastbound,ACTransit_2015_8_14,DB,Dumbarton Express,AC Transit
DUMBARTON___DB Dumbarton Express,AC Transit,EXPRESS,126,30_AC Transit_126_PM_d1_s344,30_AC Transit_126_PM_d1_s344,30_126_PM_d1_s344,AC Transit,Westbound,ACTransit_2015_8_14,DB,Dumbarton Express,AC Transit
DUMBARTON___DB Dumbarton Express,AC Transit,EXPRESS,126,30_AC Transit_126_EV_d1_s344,30_AC Transit_126_EV_d1_s344,30_126_EV_d1_s344,AC Transit,Westbound,ACTransit_2015_8_14,DB,Dumbarton Express,AC Transit
DUMBARTON___DB1 Dumbarton Express,AC Transit,EXPRESS,127,30_AC Transit_127_EA_d1_s348,30_AC Transit_127_EA_d1_s348,30_127_EA_d1_s348,AC Transit,Westbound,ACTransit_2015_8_14,DB1,Dumbarton Express,AC Transit
DUMBARTON___DB1 Dumbarton Express,AC Transit,EXPRESS,127,30_AC Transit_127_AM_d1_s348,30_AC Transit_127_AM_d1_s348,30_127_AM_d1_s348,AC Transit,Westbound,ACTransit_2015_8_14,DB1,Dumbarton Express,AC Transit
DUMBARTON___DB1 Dumbarton Express,AC Transit,EXPRESS,127,30_AC Transit_127_PM_d0_s346,30_AC Transit_127_PM_d0_s346,30_127_PM_d0_s346,AC Transit,Eastbound,ACTransit_2015_8_14,DB1,Dumbarton Express,AC Transit
DUMBARTON___DB1 Dumbarton Express,AC Transit,EXPRESS,127,30_AC Transit_127_MD_d1_s347,30_AC Transit_127_MD_d1_s347,30_127_MD_d1_s347,AC Transit,Westbound,ACTransit_2015_8_14,DB1,Dumbarton Express,AC Transit
DUMBARTON___DB1 Dumbarton Express,AC Transit,EXPRESS,127,30_AC Transit_127_PM_d1_s347,30_AC Transit_127_PM_d1_s347,30_127_PM_d1_s347,AC Transit,Westbound,ACTransit_2015_8_14,DB1,Dumbarton Express,AC Transit
DUMBARTON___DB1 Dumbarton Express,AC Transit,EXPRESS,127,30_AC Transit_127_AM_d0_s345,30_AC Transit_127_AM_d0_s345,30_127_AM_d0_s345,AC Transit,Eastbound,ACTransit_2015_8_14,DB1,Dumbarton Express,AC Transit
DUMBARTON___DB1 Dumbarton Express,AC Transit,EXPRESS,127,30_AC Transit_127_MD_d0_s346,30_AC Transit_127_MD_d0_s346,30_127_MD_d0_s346,AC Transit,Eastbound,ACTransit_2015_8_14,DB1,Dumbarton Express,AC Transit
DUMBARTON___DB1 Dumbarton Express,AC Transit,EXPRESS,127,30_AC Transit_127_EV_d0_s346,30_AC Transit_127_EV_d0_s346,30_127_EV_d0_s346,AC Transit,Eastbound,ACTransit_2015_8_14,DB1,Dumbarton Express,AC Transit
CAPITOL CORRIDOR___Berkeley&&&Fairfield/Vacaville Station,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d0_s487,23_AM_196_EA_d0_s487,23_196_EA_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Fairfield/Vacaville Station,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d0_s487,23_AM_196_AM_d0_s487,23_196_AM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Fairfield/Vacaville Station,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d0_s487,23_AM_196_MD_d0_s487,23_196_MD_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Fairfield/Vacaville Station,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d0_s487,23_AM_196_PM_d0_s487,23_196_PM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Fairfield/Vacaville Station,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d1_s486,23_AM_196_EA_d1_s486,23_196_EA_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Fairfield/Vacaville Station,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d1_s486,23_AM_196_AM_d1_s486,23_196_AM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Fairfield/Vacaville Station,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d1_s486,23_AM_196_MD_d1_s486,23_196_MD_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Fairfield/Vacaville Station,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d1_s486,23_AM_196_PM_d1_s486,23_196_PM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Fairfield/Vacaville Station,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d1_s486,23_AM_196_EV_d1_s486,23_196_EV_d1_s486,Capitol Corridor,Oakland Jack London,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Fairfield/Vacaville Station,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d0_s487,23_AM_196_EV_d0_s487,23_196_EV_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Fremont,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d0_s487,23_AM_196_EA_d0_s487,23_196_EA_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Fremont,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d0_s487,23_AM_196_AM_d0_s487,23_196_AM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Fremont,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d0_s487,23_AM_196_MD_d0_s487,23_196_MD_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Fremont,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d0_s487,23_AM_196_PM_d0_s487,23_196_PM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Fremont,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d1_s486,23_AM_196_EA_d1_s486,23_196_EA_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Fremont,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d1_s486,23_AM_196_AM_d1_s486,23_196_AM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Fremont,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d1_s486,23_AM_196_MD_d1_s486,23_196_MD_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Fremont,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d1_s486,23_AM_196_PM_d1_s486,23_196_PM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Fremont,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d1_s486,23_AM_196_EV_d1_s486,23_196_EV_d1_s486,Capitol Corridor,Oakland Jack London,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Fremont,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d0_s487,23_AM_196_EV_d0_s487,23_196_EV_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Hayward,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d0_s487,23_AM_196_EA_d0_s487,23_196_EA_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Hayward,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d0_s487,23_AM_196_AM_d0_s487,23_196_AM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Hayward,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d0_s487,23_AM_196_MD_d0_s487,23_196_MD_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Hayward,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d0_s487,23_AM_196_PM_d0_s487,23_196_PM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Hayward,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d1_s486,23_AM_196_EA_d1_s486,23_196_EA_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Hayward,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d1_s486,23_AM_196_AM_d1_s486,23_196_AM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Hayward,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d1_s486,23_AM_196_MD_d1_s486,23_196_MD_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Hayward,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d1_s486,23_AM_196_PM_d1_s486,23_196_PM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Hayward,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d1_s486,23_AM_196_EV_d1_s486,23_196_EV_d1_s486,Capitol Corridor,Oakland Jack London,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Hayward,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d0_s487,23_AM_196_EV_d0_s487,23_196_EV_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Martinez,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d0_s487,23_AM_196_EA_d0_s487,23_196_EA_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Martinez,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d0_s487,23_AM_196_AM_d0_s487,23_196_AM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Martinez,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d0_s487,23_AM_196_MD_d0_s487,23_196_MD_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Martinez,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d0_s487,23_AM_196_PM_d0_s487,23_196_PM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Martinez,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d1_s486,23_AM_196_EA_d1_s486,23_196_EA_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Martinez,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d1_s486,23_AM_196_AM_d1_s486,23_196_AM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Martinez,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d1_s486,23_AM_196_MD_d1_s486,23_196_MD_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Martinez,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d1_s486,23_AM_196_PM_d1_s486,23_196_PM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Martinez,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d1_s486,23_AM_196_EV_d1_s486,23_196_EV_d1_s486,Capitol Corridor,Oakland Jack London,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Martinez,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d0_s487,23_AM_196_EV_d0_s487,23_196_EV_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
