station,district,route,direction,type,latitude,longitude,distlink,pemsonlink,shstReferenceId,A,B,model_link_id,A_B
406604,4,580,E,ML,37.693792,-122.048339,0.0001769237200393,1,938c68a310a82732237c1a7bb9940812,2578355,2589017,3098054,2578355_2589017
406605,4,580,E,ML,37.699915,-121.926769,3.86897192752957e-05,1,01a23a9cd090dd752fe36221a58a9b92,2501102,2532913,3001073,2501102_2532913
406606,4,580,E,FR,37.700435,-121.924489,0.0023984076072567,2,01a23a9cd090dd752fe36221a58a9b92,2501102,2532913,3001073,2501102_2532913
406609,4,580,E,ML,37.701469,-121.902607,3.60333655080722e-05,1,0e02435a83959b5ec5ca49b0bc37a4af,2509316,2512283,3009315,2509316_2512283
406614,4,580,W,ML,37.694015,-122.048603,0.0002245117702977,1,5c616d3dc2cb03621c0c675b2cf1ddfd,2554124,2507020,3061347,2554124_2507020
406623,4,4,E,ML,37.993989,-122.071289,1.02773260357588e-06,1,7434fa866410288a6f19c5e533fce2a2,3049009,3073006,4057853,3049009_3073006
406628,4,4,E,OR,38.011247,-121.864952,0.0001440175558269,1,c928ce9dffc9cb55547832b0f1154587,3057700,3061774,4099843,3057700_3061774
406636,4,4,E,OR,38.022944,-121.966592,0.0008818352277588,1,0fa1835adfeab0e462025b4fc927b390,3007856,3068829,4007823,3007856_3068829
406642,4,4,W,OR,38.023805,-121.969427,0.0001494874679561,1,9b1b365ed7085e303b9078134b37f8e0,3060693,3074483,4077091,3060693_3074483
406643,4,4,W,OR,38.023014,-121.965323,0.0004464885132891,1,dc7ef29ba15bf990b349e8874b7c73bb,3031483,3060693,4109492,3031483_3060693
406644,4,4,W,FR,38.022452,-121.962465,0.000347315109178,1,dc7ef29ba15bf990b349e8874b7c73bb,3031483,3060693,4109492,3031483_3060693
406657,4,80,W,OR,37.847128,-122.298642,0.0009376253889498,2,1164a779f615ef5168c9f72d2d9f2f36,2511462,2523557,3011518,2511462_2523557
406658,4,80,W,OR,37.839668,-122.297004,0.0049921725912515,2,497444262033963896b3261d9ffb9ceb,2538202,2530415,3048908,2538202_2530415
406659,4,80,W,OR,37.866963,-122.303994,0.0005971235438317,1,3fe69a55506d7a078c327d075af084c8,2539284,2571990,3042551,2539284_2571990
406660,4,80,W,ML,37.954132,-122.3289,5.06379970724869e-05,3,f278b4aca20da2c831169c28f84d7620,3021213,3036831,4120358,3021213_3036831
406684,4,92,E,FR,37.630956,-122.112459,0.0001693281488002,1,4ab6f41e59e183ba6ea8d43978352690,2545178,2603768,3049767,2545178_2603768
406685,4,92,E,ML,37.631102,-122.112144,0.0001347692356717,1,4ab6f41e59e183ba6ea8d43978352690,2545178,2603768,3049767,2545178_2603768
406686,4,92,E,OR,37.63185,-122.110585,0.0007217744973378,1,4ab6f41e59e183ba6ea8d43978352690,2545178,2603768,3049767,2545178_2603768
406687,4,92,E,FR,37.627408,-122.123036,0.0007011636117059,1,0e2e0def80947f03091c82048126008f,2509427,2576036,3009427,2509427_2576036
406688,4,92,E,ML,37.627801,-122.121868,2.78068454424954e-05,2,0e2e0def80947f03091c82048126008f,2509427,2576036,3009427,2509427_2576036
406689,4,92,E,OR,37.627801,-122.121868,0.0004764332882468,1,0e2e0def80947f03091c82048126008f,2509427,2576036,3009427,2509427_2576036
406694,4,92,E,OR,37.636947,-122.098741,0.0001317129385884,1,eb33733ea1075312fdb95eb12286b3c3,2551567,2516371,3156384,2551567_2516371
406695,4,92,E,ML,37.636947,-122.098741,0.0003240542792972,1,eb33733ea1075312fdb95eb12286b3c3,2551567,2516371,3156384,2551567_2516371
406696,4,92,E,FR,37.635501,-122.101672,0.0002686399953471,2,eb33733ea1075312fdb95eb12286b3c3,2551567,2516371,3156384,2551567_2516371
406713,4,92,W,ML,37.628674,-122.119903,5.98711863462532e-08,1,2508a02970593bbeaa9fbfd4b412fdcb,2523756,2562924,3024600,2523756_2562924
406714,4,92,W,OR,37.628674,-122.119903,0.0003765549691666,1,2508a02970593bbeaa9fbfd4b412fdcb,2523756,2562924,3024600,2523756_2562924
406715,4,92,W,FR,37.632433,-122.109896,0.0001086459360991,1,4028462195030d6f304bac38441cff5c,2539431,2501367,3042719,2539431_2501367
406716,4,92,W,ML,37.631299,-122.112219,0.0001059356855362,1,4028462195030d6f304bac38441cff5c,2539431,2501367,3042719,2539431_2501367
406717,4,92,W,OR,37.631299,-122.112219,0.0006469357930874,1,4028462195030d6f304bac38441cff5c,2539431,2501367,3042719,2539431_2501367
406718,4,92,W,FR,37.636822,-122.099281,0.0009631798945207,1,aad4c2ed80c5ecbbe145bf4070591772,2508889,2504452,3113462,2508889_2504452
