line_name,description,total_boarding,total_hour_cap,tm2_mode,line_mode,headway,fare_system
30_AC Transit_120_AM_d1_s330,Bayfair Bart - Hwd.BART- UC  Bart - Fmt Bart,0,240.0,30,s,20.0,9
30_AC Transit_121_AM_d0_s332,San Francisco - Trestle Glen,0,17.5,84,t,240.0,9
30_AC Transit_121_AM_d1_s334,San Francisco - Trestle Glen,0,52.5,84,t,80.0,9
30_AC Transit_122_AM_d0_s335,BROADWAY SHUTTLE DAY,0,252.0,30,o,15.0,11
30_AC Transit_122_AM_d1_s336,BROADWAY SHUTTLE DAY,0,252.0,30,o,15.0,11
30_AC Transit_124_AM_d0_s339,San Francisco - Piedmont,0,35.0,84,t,120.0,9
30_AC Transit_124_AM_d1_s340,San Francisco - Piedmont,0,87.5,84,t,48.0,9
30_AC Transit_125_AM_d1_s341,San Francisco - Montclair,0,87.5,84,t,48.0,9
30_AC Transit_126_AM_d0_s343,Dumbarton Express,0,123.52941176470588,84,t,34.0,9
30_AC Transit_126_AM_d1_s344,Dumbarton Express,0,123.52941176470588,84,t,34.0,9
30_AC Transit_127_AM_d0_s345,Dumbarton Express,0,123.52941176470588,84,t,34.0,9
30_AC Transit_127_AM_d1_s348,Dumbarton Express,0,140.0,84,t,30.0,9
30_AC Transit_128_AM_d0_s350,San Francisco - Claremont -Parkwood,0,70.0,84,t,60.0,9
30_AC Transit_128_AM_d1_s352,San Francisco - Claremont -Parkwood,0,87.5,84,t,48.0,9
30_AC Transit_129_AM_d0_s353,San Francisco - Berkeley,0,188.0,84,t,30.0,9
30_AC Transit_129_AM_d1_s356,San Francisco - Berkeley,0,188.0,84,t,30.0,9
30_AC Transit_12_AM_d0_s32,Fremont BART-Newpark Mall-Pacific Commons,0,94.5,30,s,40.0,9
30_AC Transit_12_AM_d1_s33,Fremont BART-Newpark Mall-Pacific Commons,0,126.0,30,s,30.0,9
30_AC Transit_130_AM_d1_s358,San Francisco - Berkeley,0,117.5,84,t,48.0,9
30_AC Transit_131_AM_d1_s359,San Francisco - El Cerrito,0,87.5,84,t,48.0,9
30_AC Transit_132_AM_d1_s361,San Francisco - Richmond,0,140.0,84,t,30.0,9
30_AC Transit_133_AM_d1_s363,Berkeley - San Francisco,0,141.0,84,t,40.0,9
